DrugName,ActiveIngredient,PageNumber,Category
Posthappy,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Postinor-2,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Postorose,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Potassium chloride,Kali clorid,853,Chất điện giải
Potassium iodide,Kali iodid,855,Thuốc trị cường giáp
Povidine,Povidon iod,1166,Sát khuẩn
Povidon,Povidon iod,1166,Sát khuẩn
Povidon iodin,Povidon iod,1166,Sát khuẩn
Povidone Iodine,Povidon iod,1166,Sát khuẩn
Povidone iodine,Povidon iod,1166,Sát khuẩn
Povidone iodine OPV,Povidon iod,1166,Sát khuẩn
Povidon-Iod HD,Povidon iod,1166,Sát khuẩn
Powercef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Poxid,Ofloxacin,1076,Kháng sinh nhóm quinolon
Pozineg 1000,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Pozineg 2000,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
PP 500,Nicotinamid,1054,"Thuốc dinh dưỡng, vitamin nhóm b (vitamin b"
PQAlevo,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Prabezol 10,Rabeprazol,1228,Thuốc ức chế bơm proton
Prabezol 20,Rabeprazol,1228,Thuốc ức chế bơm proton
Pracan-150,Fluconazol,666,Chống nấm
Pracet,Piracetam,1159,Thuốc trị giun
Pracetam 800,Piracetam,1159,Thuốc trị giun
Pracetamol,Paracetamol,1118,Giảm đau; hạ sốt
Prachick,Paracetamol,1118,Giảm đau; hạ sốt
Pralidoxime,Pralidoxim,1167,Sát khuẩn
Pramebig,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Pranstad 1,Repaglinid,1234,"Thuốc chống đái tháo đường typ 2, dẫn chất meglitinid"
Praril,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Prascal,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Prasobest,Rabeprazol,1228,Thuốc ức chế bơm proton
Prasocare,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Prasocare 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Prasocare 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Prasogem 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Pravastatin,Các chất ức chế HMG-CoA reductase,285,"Chống co thắt, kháng muscarinic"
Praverix,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Praxandol,Paracetamol,1118,Giảm đau; hạ sốt
Praxinstad,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Praycide 200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Prazav,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Prazex,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Prazintel,Praziquantel,1169,Thuốc trị sán
Prazogood,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Prebufen,Ibuprofen,786,Thuốc chống viêm không steroid
Prebufen,F - Ibuprofen,786,Thuốc chống viêm không steroid
Preconin,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Pred Forte,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Predegyl,Econazol,577,Thuốc kháng histamin h
Predian,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Predicort,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Predmex,Dexamethason,500,Glucocorticoid
Predmex Caps,Dexamethason,500,Glucocorticoid
Predmex-Nic,Dexamethason,500,Glucocorticoid
Prednichem,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Prednicor-F,Dexamethason,500,Glucocorticoid
Prednifar,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednilone,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolon,Delta - Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolon Boston 5,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolon F,Dexamethason,500,Glucocorticoid
Prednisolon F-Nic,Dexamethason,500,Glucocorticoid
Prednisolon Fort,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolone,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolone,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolone acetate,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolone disperible,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Prednisolone Stada,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Predsanthyl,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Predsantyl,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Predu XL,Trimetazidin,1412,Thuốc chống đau thắt ngực/chống thiếu máu cơ tim
Prega- 75,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Prega-100,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Prega-150,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Pregabaline,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Pregasafe 75,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Pregobin,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Prelimax,Prednisolon,1173,Thuốc chống viêm corticosteroid; glucocorticoid
Premilin,Pregabalin,1176,"Thuốc chống co giật, thuốc giảm đau"
Presartan-25,Losartan,927,Chất đối kháng thụ thể at
Presartan-50,Losartan,927,Chất đối kháng thụ thể at
Presdilon,Dexamethason,500,Glucocorticoid
Presolon,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Presotax 1000,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Prevantan,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Prezinton 8,Ondansetron,1082,"Thuốc chống nôn, đối kháng thụ thể 5-ht"
Priazone,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Prijotac,Ranitidin,1232,Đối kháng thụ thể h2 histamin
Primaquine,Primaquin,1178,Thuốc chống sốt rét
Prime Apesone,Eperison hydroclorid,592,Thuốc giãn cơ vân
Prime-Pirocam,Piroxicam,1160,Thuốc chống viêm không steroid (nsaid)
Primezane,Metoclopramid,973,Chống nôn
Primocef 250,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Primodil-5,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Primperan,Metoclopramid,973,Chống nôn
Prindax,Baclofen,235,Thuốc giãn cơ vân
Prinject,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
PRIORIX,Vắc xin tam liên sởi - quai bị - rubella,1444,Chưa phân loại
Prioxime-100 Cap,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Prioxime-200 Cap,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Privagin,Tramadol hydroclorid,1400,Thuốc giảm đau tổng hợp nhóm opioid
Prizidime injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Pro Bactil,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Probio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Procaine benzylpenicillin,Procain penicilin G,1185,Kháng sinh nhóm penicilin tác dụng kéo dài
Procaine hydrochloride,Procain hydroclorid,1183,Thuốc gây tê
Procaps Vitamin E,Alpha tocopherol,165,Vitamin
Procarbazine,Procarbazin,1190,Thuốc chống ung thư
Proctin cap,Fluoxetin,684,Chống trầm cảm
Proexen,Ofloxacin,1076,Kháng sinh nhóm quinolon
Profenid,Ketoprofen,865,Thuốc chống viêm không steroid (nsaid)
Profenid gel,Ketoprofen,865,Thuốc chống viêm không steroid (nsaid)
Profertil,Clomiphen,416,Thuốc kháng estrogen/thuốc gây phóng noãn
Profol,Propofol,1201,"Thuốc mê, thuốc an thần"
Progesterone,Progesteron,1192,Hormon sinh dục nữ progestin
Progestogel,Progesteron,1192,Hormon sinh dục nữ progestin
Progifen,Progesteron,1192,Hormon sinh dục nữ progestin
Prograf,Tacrolimus,1321,Chưa phân loại
Progynova,Estradiol,622,Hormon estrogen
Prohibit,Pantoprazol,1115,"Thuốc ức chế bơm proton, ức chế tiết acid dịch vị"
Proklot,Acid tranexamic,139,Thuốc chống tiêu fibrin
Prolaxi Eye Drops,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Proloc,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Prolol SaVi 10,Bisoprolol,264,Thuốc chẹn beta1 adrenergic chọn lọc (chẹn chọn lọc
"Prolol SaVi 2,5",Bisoprolol,264,Thuốc chẹn beta1 adrenergic chọn lọc (chẹn chọn lọc
"Prolol SaVi 5,0",Bisoprolol,264,Thuốc chẹn beta1 adrenergic chọn lọc (chẹn chọn lọc
Prome-Nic,Promethazin hydroclorid,1196,Kháng histamin (thụ thể h
Promid,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Promilex 100,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Promilex 200,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Promilex forte,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Promla-100DT,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Promla-200DT,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Promoxy,Amoxicilin và kali clavulanat,192,Kháng sinh
Pronivel,Erythropoietin,611,Thuốc kích thích tạo hồng cầu
Propafenone,Propafenon,1199,Thuốc chống loạn nhịp nhóm ic
Propain,Naproxen,1024,Thuốc chống viêm không steroid
Propido,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Propilan 30,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Propofol 1% Fresenius,Propofol,1201,"Thuốc mê, thuốc an thần"
Propofol-Lipuro,Propofol,1201,"Thuốc mê, thuốc an thần"
Propyliodone,Propyliodon,1207,Thuốc cản quang chụp phế quản
Prosake-F,Tenoxicam,1336,Thuốc chống viêm không steroid
Prosia,Paracetamol,1118,Giảm đau; hạ sốt
Protamine sulfate,Protamin sulfat,1210,Thuốc giải độc (giải độc heparin)
Protevir,Tenofovir,1335,Thuốc kháng retrovirus
Protodil,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Protoflam 200,Aciclovir,114,Thuốc chống virus
Protopic,Tacrolimus,1321,Chưa phân loại
Protorib,Rabeprazol,1228,Thuốc ức chế bơm proton
Protoriff,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Protovan,Propofol,1201,"Thuốc mê, thuốc an thần"
Provace-2.5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Provace-5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Provedic,Medroxyprogesteron acetat,934,Hormon progestogen
Provinace,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Proxacin,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Proxed-100,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Prozilin 10,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Pseudoephedrine,Pseudoephedrin,1211,Thuốc giải độc (giải độc heparin)
Pseudofed,Pseudoephedrin,1211,Thuốc giải độc (giải độc heparin)
Psotriol,Calcipotriol,300,"Thuốc điều trị vảy nến (dùng ngoài), dẫn chất vitamin"
Psudon 250,Amikacin,176,Kháng sinh họ aminoglycosid
Psudon 500,Amikacin,176,Kháng sinh họ aminoglycosid
Psycholanz-5,Olanzapin,1077,Kháng sinh nhóm quinolon
Psycholanz-10,Olanzapin,1077,Kháng sinh nhóm quinolon
P-Tam,Piracetam,1159,Thuốc trị giun
PTU Thepharm,Propylthiouracil,1208,"Thuốc kháng giáp, dẫn chất thiourê"
Pukas,Trimetazidin,1412,Thuốc chống đau thắt ngực/chống thiếu máu cơ tim
Pulmicort,Budesonid,274,Glucocorticoid hít
Pulmicort Respules,Budesonid,274,Glucocorticoid hít
Pulmoxy-250 dry syrup,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Pulmoxyl Dry syrup,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Pulracef,500 - Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Pulracef,CV 500 - Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Puraxim,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Purecare,Erythromycin,607,Kháng sinh nhóm macrolid
Puregon,xem Follitropin beta - Gonadotropin,756,Hormon gonadotropin
Puril,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu
Puritan,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Puzicil,Azithromycin,227,Thuốc kháng sinh
PVP Iodine,Povidon iod,1166,Sát khuẩn
Pvrison,Eperison hydroclorid,592,Thuốc giãn cơ vân
Pycaptin,Captopril,314,Thuốc ức chế men chuyển
Pycetol,Paracetamol,1118,Giảm đau; hạ sốt
Pycetol-F,Paracetamol,1118,Giảm đau; hạ sốt
Pycip,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Pycityl,Tenoxicam,1336,Thuốc chống viêm không steroid
Pyclin 150,Clindamycin,407,Kháng sinh họ lincosamid
Pyclin 300,Clindamycin,407,Kháng sinh họ lincosamid
Pyclin-300,Clindamycin,407,Kháng sinh họ lincosamid
Pyclin 600,Clindamycin,407,Kháng sinh họ lincosamid
Pydrocef 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Pyfaclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Pyfaclor Kid,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Pyfadrox 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Pyfloxat,Ofloxacin,1076,Kháng sinh nhóm quinolon
Pyme,Ibu - Ibuprofen,786,Thuốc chống viêm không steroid
Pyme Am5 caps,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Pyme Diapro,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Pyme Diapro MR,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Pyme Fucan,Fluconazol,666,Chống nấm
Pyme FUCAN,Fluconazol,666,Chống nấm
Pyme M-Predni,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Pyme OM40,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Pyme Sezipam,Diazepam,513,"An thần, giải lo âu, gây ngủ"
PymeAlong 5,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
PymeAzi 250,Azithromycin,227,Thuốc kháng sinh
PymeAzi 500,Azithromycin,227,Thuốc kháng sinh
Pymeclarocil 250,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Pymeclarocil 500,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Pymenife 10,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
PymeNife retard,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
PymeRoxitil,Roxithromycin,1260,Kháng sinh nhóm macrolid
Pymetphage 1000,Metformin,955,Thuốc giải độc
Pymetphage_500,Metformin,955,Thuốc giải độc
Pymetphage_850,Metformin,955,Thuốc giải độc
Pyomsec 20,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Pyrabru,Pyrazinamid,1214,Thuốc chống lao
Pyracil,Propylthiouracil,1208,"Thuốc kháng giáp, dẫn chất thiourê"
Pyrafat,Pyrazinamid,1214,Thuốc chống lao
Pyrantelum Madana,Pyrantel,1213,Thuốc trị giun
Pyrazinamid 500,Pyrazinamid,1214,Thuốc chống lao
Pyrazinamide,Pyrazinamid,1214,Thuốc chống lao
Pyrazinamide tablets USP,Pyrazinamid,1214,Thuốc chống lao
"Pyrexicam 7,5",Meloxicam,940,Thuốc chống viêm không steroid
Pyrexicam 15,Meloxicam,940,Thuốc chống viêm không steroid
Pyridostigmine bromide,Pyridostigmin bromid,1216,"Thuốc kháng cholinesterase, thuốc chống nhược cơ"
Pyridoxine hydrochloride,Pyridoxin hydrocorid,1217,"Thuốc kháng cholinesterase, thuốc chống nhược cơ"
Pyrimethamine,Pyrimethamin,1219,Thuốc chống sốt rét (nhóm diaminopyrimidin)
Pyrolox,Piroxicam,1160,Thuốc chống viêm không steroid (nsaid)
Pyroxil,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Pythinam,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Pytonadion,Phytomenadion,1147,"Vitamin (thuộc nhóm k), thuốc chống chảy máu"
Pyzacar 25,Losartan,927,Chất đối kháng thụ thể at
Pyzacar 50,Losartan,927,Chất đối kháng thụ thể at
PZA 500,Pyrazinamid,1214,Thuốc chống lao
Qaderlo,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào
Qamasol,Ambroxol,175,Thuốc long đờm
Qanazin,Flunarizin,678,Thuốc chẹn kênh calci
QBI-Phadol,Paracetamol,1118,Giảm đau; hạ sốt
Qbipharine,Alverin citrat,172,Chống co thắt cơ trơn
Protoriff,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Protovan,Propofol,1201,"Thuốc mê, thuốc an thần"
Provace-2.5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Provace-5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Provedic,Medroxyprogesteron acetat,934,Hormon progestogen
Provinace,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Proxacin,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Proxed-100,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Prozilin 10,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Pseudoephedrine,Pseudoephedrin,1211,Thuốc giải độc (giải độc heparin)
Pseudofed,Pseudoephedrin,1211,Thuốc giải độc (giải độc heparin)
Psotriol,Calcipotriol,300,"Thuốc điều trị vảy nến (dùng ngoài), dẫn chất vitamin"
Psudon 250,Amikacin,176,Kháng sinh họ aminoglycosid
Psudon 500,Amikacin,176,Kháng sinh họ aminoglycosid
Psycholanz-5,Olanzapin,1077,Kháng sinh nhóm quinolon
Psycholanz-10,Olanzapin,1077,Kháng sinh nhóm quinolon
P-Tam,Piracetam,1159,Thuốc trị giun
PTU Thepharm,Propylthiouracil,1208,"Thuốc kháng giáp, dẫn chất thiourê"
Pukas,Trimetazidin,1412,Thuốc chống đau thắt ngực/chống thiếu máu cơ tim
Pulmicort,Budesonid,274,Glucocorticoid hít
Pulmicort Respules,Budesonid,274,Glucocorticoid hít
Pulmoxy-250 dry syrup,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Pulmoxyl Dry syrup,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Pulracef,500 - Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Pulracef,CV 500 - Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Puraxim,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Purecare,Erythromycin,607,Kháng sinh nhóm macrolid
Puregon,xem Follitropin beta - Gonadotropin,756,Hormon gonadotropin
Puril,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu
Puritan,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Puzicil,Azithromycin,227,Thuốc kháng sinh
PVP Iodine,Povidon iod,1166,Sát khuẩn
Pvrison,Eperison hydroclorid,592,Thuốc giãn cơ vân
Pycaptin,Captopril,314,Thuốc ức chế men chuyển
Pycetol,Paracetamol,1118,Giảm đau; hạ sốt
Pycetol-F,Paracetamol,1118,Giảm đau; hạ sốt
Pycip,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Pycityl,Tenoxicam,1336,Thuốc chống viêm không steroid
Pyclin 150,Clindamycin,407,Kháng sinh họ lincosamid
Pyclin 300,Clindamycin,407,Kháng sinh họ lincosamid
Pyclin-300,Clindamycin,407,Kháng sinh họ lincosamid
Pyclin 600,Clindamycin,407,Kháng sinh họ lincosamid
Pydrocef 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Pyfaclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Pyfaclor Kid,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Pyfadrox 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Pyfloxat,Ofloxacin,1076,Kháng sinh nhóm quinolon
Pyme,Ibu - Ibuprofen,786,Thuốc chống viêm không steroid
Pyme Am5 caps,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Pyme Diapro,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Pyme Diapro MR,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Pyme Fucan,Fluconazol,666,Chống nấm
Pyme FUCAN,Fluconazol,666,Chống nấm
Pyme M-Predni,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Pyme OM40,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Pyme Sezipam,Diazepam,513,"An thần, giải lo âu, gây ngủ"
PymeAlong 5,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
PymeAzi 250,Azithromycin,227,Thuốc kháng sinh
PymeAzi 500,Azithromycin,227,Thuốc kháng sinh
Pymeclarocil 250,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Pymeclarocil 500,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Pymenife 10,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
PymeNife retard,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
PymeRoxitil,Roxithromycin,1260,Kháng sinh nhóm macrolid
Pymetphage 1000,Metformin,955,Thuốc giải độc
Pymetphage_500,Metformin,955,Thuốc giải độc
Pymetphage_850,Metformin,955,Thuốc giải độc
Pyomsec 20,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Pyrabru,Pyrazinamid,1214,Thuốc chống lao
Pyracil,Propylthiouracil,1208,"Thuốc kháng giáp, dẫn chất thiourê"
Pyrafat,Pyrazinamid,1214,Thuốc chống lao
Pyrantelum Madana,Pyrantel,1213,Thuốc trị giun
Pyrazinamid 500,Pyrazinamid,1214,Thuốc chống lao
Pyrazinamide,Pyrazinamid,1214,Thuốc chống lao
Pyrazinamide tablets USP,Pyrazinamid,1214,Thuốc chống lao
"Pyrexicam 7,5",Meloxicam,940,Thuốc chống viêm không steroid
Pyrexicam 15,Meloxicam,940,Thuốc chống viêm không steroid
Pyridostigmine bromide,Pyridostigmin bromid,1216,"Thuốc kháng cholinesterase, thuốc chống nhược cơ"
Pyridoxine hydrochloride,Pyridoxin hydrocorid,1217,"Thuốc kháng cholinesterase, thuốc chống nhược cơ"
Pyrimethamine,Pyrimethamin,1219,Thuốc chống sốt rét (nhóm diaminopyrimidin)
Pyrolox,Piroxicam,1160,Thuốc chống viêm không steroid (nsaid)
Pyroxil,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Pythinam,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Pytonadion,Phytomenadion,1147,"Vitamin (thuộc nhóm k), thuốc chống chảy máu"
Pyzacar 25,Losartan,927,Chất đối kháng thụ thể at
Pyzacar 50,Losartan,927,Chất đối kháng thụ thể at
PZA 500,Pyrazinamid,1214,Thuốc chống lao
Qaderlo,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào
Qamasol,Ambroxol,175,Thuốc long đờm
Qanazin,Flunarizin,678,Thuốc chẹn kênh calci
QBI-Phadol,Paracetamol,1118,Giảm đau; hạ sốt
Qbipharine,Alverin citrat,172,Chống co thắt cơ trơn
Q-Tax P,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Q-Tax-T,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Q-Tax-T 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Quacimol,Clotrimazol,452,"Thuốc chống nấm tại chỗ, phổ rộng"
Quafa-Azi 250,Azithromycin,227,Thuốc kháng sinh
Quafacip,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Quafamox,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Qualif,Paracetamol,1118,Giảm đau; hạ sốt
Quamatel,Famotidin,648,Đối kháng thụ thể histamin h
Queencap,Candesartan cilexetil,304,Chất đối kháng thụ thể angiotensin ii
Queenlife E,Alpha tocopherol,165,Vitamin
Quibay,Piracetam,1159,Thuốc trị giun
Quidonan,Trimetazidin,1412,Thuốc chống đau thắt ngực/chống thiếu máu cơ tim
Quinapril 20,Quinapril,1222,Thuốc ức chế  enzym chuyển angiotensin
Quinapril 5,Quinapril,1222,Thuốc ức chế  enzym chuyển angiotensin
Quincef 125,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Quincef 250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Quincef 500,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Quindrops,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Quinine,Quinin,1225,Chống sốt rét
Quinine Sulphate,Quinin,1225,Chống sốt rét
Quinine Sulphate Tablets BP,Quinin,1225,Chống sốt rét
Quinobact,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Quinoneg 500,Acid nalidixic,134,"Vì vậy, không trộn"
Quinospastyl,Alverin citrat,172,Chống co thắt cơ trơn
Quinotab 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quinotab 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quinovid,Ofloxacin,1076,Kháng sinh nhóm quinolon
Quinoxo Brookes,Ofloxacin,1076,Kháng sinh nhóm quinolon
Quinrox,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Quinvonic,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quivocin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quivonic 100,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quivonic 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quivonic 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Quixime,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
