DrugName,ActiveIngredient,PageNumber
Pornislon,Prednisolon,1173
Portome,Omeprazol,1080
Posthappy,Levonorgestrel,898
Postinor-2,Levonorgestrel,898
Postorose,Levonorgestrel,898
Potassium chloride,Kali clorid,853
Potassium iodide,Kali iodid,855
Povidine,Povidon iod,1166
Povidon,Povidon iod,1166
Povidon iodin,Povidon iod,1166
Povidone Iodine,Povidon iod,1166
Povidone iodine,Povidon iod,1166
Povidone iodine OPV,Povidon iod,1166
Povidon-Iod HD,Povidon iod,1166
Powercef,Ceftriaxon,371
Poxid,Ofloxacin,1076
Pozineg 1000,Cefepim,348
Pozineg 2000,Cefepim,348
PP 500,Nicotinamid,1054
PQAlevo,Levofloxacin,890
Prabezol 10,Rabeprazol,1228
Prabezol 20,Rabeprazol,1228
Pracan-150,Fluconazol,666
Pracet,Piracetam,1159
Pracetam 800,Piracetam,1159
Pracetamol,Paracetamol,1118
Prachick,Paracetamol,1118
Pralidoxime,Pralidoxim,1167
Pramebig,Esomeprazol,619
Pranstad 1,Repaglinid,1234
Praril,Ramipril,1230
Prascal,Ceftazidim,368
Prasobest,Rabeprazol,1228
Prasocare,Esomeprazol,619
Prasocare 20,Esomeprazol,619
Prasocare 40,Esomeprazol,619
Prasogem 40,Esomeprazol,619
Pravastatin,Các chất ức chế HMG-CoA reductase,285
Praverix,Amoxicilin,188
Praxandol,Paracetamol,1118
Praxinstad,Moxifloxacin hydroclorid,1011
Praycide 200,Cefpodoxim proxetil,363
Prazav,Omeprazol,1080
Prazex,Lansoprazol,879
Prazintel,Praziquantel,1169
Prazogood,Esomeprazol,619
Prebufen,Ibuprofen,786
Prebufen,F - Ibuprofen,786
Preconin,Prednisolon,1173
Pred Forte,Prednisolon,1173
Predegyl,Econazol,577
Predian,Gliclazid,729
Predicort,Prednisolon,1173
Predmex,Dexamethason,500
Predmex Caps,Dexamethason,500
Predmex-Nic,Dexamethason,500
Prednichem,Methylprednisolon,969
Prednicor-F,Dexamethason,500
Prednifar,Prednisolon,1173
Prednilone,Prednisolon,1173
Prednisolon,Delta - Prednisolon,1173
Prednisolon Boston 5,Prednisolon,1173
Prednisolon F,Dexamethason,500
Prednisolon F-Nic,Dexamethason,500
Prednisolon Fort,Prednisolon,1173
Prednisolone,Prednisolon,1173
Prednisolone,Prednisolon,1173
Prednisolone acetate,Prednisolon,1173
Prednisolone disperible,Prednisolon,1173
Prednisolone Stada,Prednisolon,1173
Predsanthyl,Methylprednisolon,969
Predsantyl,Methylprednisolon,969
Predu XL,Trimetazidin,1412
Prega- 75,Pregabalin,1176
Prega-100,Pregabalin,1176
Prega-150,Pregabalin,1176
Poltram 50,Tramadol hydroclorid,1400
Poltram 100,Tramadol hydroclorid,1400
Polyclox,Amoxicilin,188
Polygeline,Polygelin,1162
Polymex-20,Omeprazol,1080
Polzapin,Olanzapin,1077
Polzin,Pioglitazon,1151
Pomenviol,Testosteron,1344
Ponaicef,Ofloxacin,1076
Popofo,Propofol,1201
Porarac capsules,Omeprazol,1080
Porison inj.,Ceftriaxon,371
Pornislon,Prednisolon,1173
Portome,Omeprazol,1080
Posthappy,Levonorgestrel,898
Postinor-2,Levonorgestrel,898
Postorose,Levonorgestrel,898
Potassium chloride,Kali clorid,853
Potassium iodide,Kali iodid,855
Povidine,Povidon iod,1166
Povidon,Povidon iod,1166
Povidon iodin,Povidon iod,1166
Povidone Iodine,Povidon iod,1166
Povidone iodine,Povidon iod,1166
Povidone iodine OPV,Povidon iod,1166
Povidon-Iod HD,Povidon iod,1166
Powercef,Ceftriaxon,371
Poxid,Ofloxacin,1076
Pozineg 1000,Cefepim,348
Pozineg 2000,Cefepim,348
PP 500,Nicotinamid,1054
PQAlevo,Levofloxacin,890
Prabezol 10,Rabeprazol,1228
Prabezol 20,Rabeprazol,1228
Pracan-150,Fluconazol,666
Pracet,Piracetam,1159
Pracetam 800,Piracetam,1159
Pracetamol,Paracetamol,1118
Prachick,Paracetamol,1118
Pralidoxime,Pralidoxim,1167
Pramebig,Esomeprazol,619
Pranstad 1,Repaglinid,1234
Praril,Ramipril,1230
Prascal,Ceftazidim,368
Prasobest,Rabeprazol,1228
Prasocare,Esomeprazol,619
Prasocare 20,Esomeprazol,619
Prasocare 40,Esomeprazol,619
Prasogem 40,Esomeprazol,619
Pravastatin,Các chất ức chế HMG-CoA reductase,285
Praverix,Amoxicilin,188
Praxandol,Paracetamol,1118
Praxinstad,Moxifloxacin hydroclorid,1011
Praycide 200,Cefpodoxim proxetil,363
Prazav,Omeprazol,1080
Prazex,Lansoprazol,879
Prazintel,Praziquantel,1169
Prazogood,Esomeprazol,619
Prebufen,Ibuprofen,786
Prebufen,F - Ibuprofen,786
Preconin,Prednisolon,1173
Pred Forte,Prednisolon,1173
Predegyl,Econazol,577
Predian,Gliclazid,729
Predicort,Prednisolon,1173
Predmex,Dexamethason,500
Predmex Caps,Dexamethason,500
Predmex-Nic,Dexamethason,500
Prednichem,Methylprednisolon,969
Prednicor-F,Dexamethason,500
Prednifar,Prednisolon,1173
Prednilone,Prednisolon,1173
Prednisolon,Delta - Prednisolon,1173
Prednisolon Boston 5,Prednisolon,1173
Prednisolon F,Dexamethason,500
Prednisolon F-Nic,Dexamethason,500
Prednisolon Fort,Prednisolon,1173
Prednisolone,Prednisolon,1173
Prednisolone,Prednisolon,1173
Prednisolone acetate,Prednisolon,1173
Prednisolone disperible,Prednisolon,1173
Prednisolone Stada,Prednisolon,1173
Predsanthyl,Methylprednisolon,969
Predsantyl,Methylprednisolon,969
Predu XL,Trimetazidin,1412
Prega- 75,Pregabalin,1176
Prega-100,Pregabalin,1176
Prega-150,Pregabalin,1176
Pregabaline,Pregabalin,1176
Pregasafe 75,Pregabalin,1176
Pregobin,Pregabalin,1176
Prelimax,Prednisolon,1173
Premilin,Pregabalin,1176
Presartan-25,Losartan,927
Presartan-50,Losartan,927
Presdilon,Dexamethason,500
Presolon,Methylprednisolon,969
Presotax 1000,Cefotaxim,357
Prevantan,Methylprednisolon,969
Prezinton 8,Ondansetron,1082
Priazone,Ceftriaxon,371
Prijotac,Ranitidin,1232
Primaquine,Primaquin,1178
Prime Apesone,Eperison hydroclorid,592
Prime-Pirocam,Piroxicam,1160
Primezane,Metoclopramid,973
Primocef 250,Cefalexin,334
Primodil-5,Amlodipin,187
Primperan,Metoclopramid,973
Prindax,Baclofen,235
Prinject,Methylprednisolon,969
PRIORIX,Vắc xin tam liên sởi - quai bị - rubella,1444
Prioxime-100 Cap,Cefixim,351
Prioxime-200 Cap,Cefixim,351
Privagin,Tramadol hydroclorid,1400
Prizidime injection,Ceftazidim,368
Pro Bactil,Lactobacillus acidophilus,874
Probio,Lactobacillus acidophilus,874
Procaine benzylpenicillin,Procain penicilin G,1185
Procaine hydrochloride,Procain hydroclorid,1183
Procaps Vitamin E,Alpha tocopherol,165
Procarbazine,Procarbazin,1190
Proctin cap,Fluoxetin,684
Proexen,Ofloxacin,1076
Profenid,Ketoprofen,865
Profenid gel,Ketoprofen,865
Profertil,Clomiphen,416
Profol,Propofol,1201
Progesterone,Progesteron,1192
Progestogel,Progesteron,1192
Progifen,Progesteron,1192
Prograf,Tacrolimus,1321
Progynova,Estradiol,622
Prohibit,Pantoprazol,1115
Proklot,Acid tranexamic,139
Prolaxi Eye Drops,Ciprofloxacin,394
Proloc,Omeprazol,1080
Prolol SaVi 10,Bisoprolol,264
"Prolol SaVi 2,5",Bisoprolol,264
"Prolol SaVi 5,0",Bisoprolol,264
Prome-Nic,Promethazin hydroclorid,1196
Promid,Acetylcystein,111
Promilex 100,Misoprostol,994
Promilex 200,Misoprostol,994
Promilex forte,Misoprostol,994
Promla-100DT,Cefpodoxim proxetil,363
Promla-200DT,Cefpodoxim proxetil,363
Promoxy,Amoxicilin và kali clavulanat,192
Pronivel,Erythropoietin,611
Propafenone,Propafenon,1199
Propain,Naproxen,1024
Propido,Cefpodoxim proxetil,363
Propilan 30,Lansoprazol,879
Propofol 1% Fresenius,Propofol,1201
Propofol-Lipuro,Propofol,1201
Propyliodone,Propyliodon,1207
Prosake-F,Tenoxicam,1336
Prosia,Paracetamol,1118
Protamine sulfate,Protamin sulfat,1210
Protevir,Tenofovir,1335
Protodil,Omeprazol,1080
Protoflam 200,Aciclovir,114
Protopic,Tacrolimus,1321
Protorib,Rabeprazol,1228
Protoriff,Levofloxacin,890
Protovan,Propofol,1201
Provace-2.5,Ramipril,1230
Provace-5,Ramipril,1230
Provedic,Medroxyprogesteron acetat,934
Provinace,Perindopril,1131
Proxacin,Ciprofloxacin,394
Proxed-100,Cefpodoxim proxetil,363
Prozilin 10,Lisinopril,910
Pseudoephedrine,Pseudoephedrin,1211
Pseudofed,Pseudoephedrin,1211
Psotriol,Calcipotriol,300
Psudon 250,Amikacin,176
Psudon 500,Amikacin,176
Psycholanz-5,Olanzapin,1077
Psycholanz-10,Olanzapin,1077
P-Tam,Piracetam,1159
PTU Thepharm,Propylthiouracil,1208
Pukas,Trimetazidin,1412
Pulmicort,Budesonid,274
Pulmicort Respules,Budesonid,274
Pulmoxy-250 dry syrup,Amoxicilin,188
Pulmoxyl Dry syrup,Amoxicilin,188
Pulracef,500 - Cefuroxim,375
Pulracef,CV 500 - Cefuroxim,375
Puraxim,Cefixim,351
Purecare,Erythromycin,607
Puregon,xem Follitropin beta - Gonadotropin,756
Puril,Clopidogrel,425
Puritan,Tobramycin,1392
Puzicil,Azithromycin,227
PVP Iodine,Povidon iod,1166
Pvrison,Eperison hydroclorid,592
Pycaptin,Captopril,314
Pycetol,Paracetamol,1118
Pycetol-F,Paracetamol,1118
Pycip,Ciprofloxacin,394
Pycityl,Tenoxicam,1336
Pyclin 150,Clindamycin,407
Pyclin 300,Clindamycin,407
Pyclin-300,Clindamycin,407
Pyclin 600,Clindamycin,407
Pydrocef 500,Cefadroxil,332
Pyfaclor,Cefaclor,329
Pyfaclor Kid,Cefaclor,329
Pyfadrox 500,Cefadroxil,332
Pyfloxat,Ofloxacin,1076
Pyme,Ibu - Ibuprofen,786
Pyme Am5 caps,Amlodipin,187
Pyme Diapro,Gliclazid,729
Pyme Diapro MR,Gliclazid,729
Pyme Fucan,Fluconazol,666
Pyme FUCAN,Fluconazol,666
Pyme M-Predni,Methylprednisolon,969
Pyme OM40,Omeprazol,1080
Pyme Sezipam,Diazepam,513
PymeAlong 5,Amlodipin,187
PymeAzi 250,Azithromycin,227
PymeAzi 500,Azithromycin,227
Pymeclarocil 250,Clarithromycin,404
Pymeclarocil 500,Clarithromycin,404
Pymenife 10,Nifedipin,1056
PymeNife retard,Nifedipin,1056
PymeRoxitil,Roxithromycin,1260
Pymetphage 1000,Metformin,955
Pymetphage_500,Metformin,955
Pymetphage_850,Metformin,955
Pyomsec 20,Omeprazol,1080
Pyrabru,Pyrazinamid,1214
Pyracil,Propylthiouracil,1208
Pyrafat,Pyrazinamid,1214
Pyrantelum Madana,Pyrantel,1213
Pyrazinamid 500,Pyrazinamid,1214
Pyrazinamide,Pyrazinamid,1214
Pyrazinamide tablets USP,Pyrazinamid,1214
"Pyrexicam 7,5",Meloxicam,940
Pyrexicam 15,Meloxicam,940
Pyridostigmine bromide,Pyridostigmin bromid,1216
Pyridoxine hydrochloride,Pyridoxin hydrocorid,1217
Pyrimethamine,Pyrimethamin,1219
Pyrolox,Piroxicam,1160
Pyroxil,Cefadroxil,332
Pythinam,Imipenem và thuốc ức chế enzym,800
Pytonadion,Phytomenadion,1147
Pyzacar 25,Losartan,927
Pyzacar 50,Losartan,927
PZA 500,Pyrazinamid,1214
Qaderlo,Desloratadin,497
Qamasol,Ambroxol,175
Qanazin,Flunarizin,678
QBI-Phadol,Paracetamol,1118
Qbipharine,Alverin citrat,172
Protoriff,Levofloxacin,890
Protovan,Propofol,1201
Provace-2.5,Ramipril,1230
Provace-5,Ramipril,1230
Provedic,Medroxyprogesteron acetat,934
Provinace,Perindopril,1131
Proxacin,Ciprofloxacin,394
Proxed-100,Cefpodoxim proxetil,363
Prozilin 10,Lisinopril,910
Pseudoephedrine,Pseudoephedrin,1211
Pseudofed,Pseudoephedrin,1211
Psotriol,Calcipotriol,300
Psudon 250,Amikacin,176
Psudon 500,Amikacin,176
Psycholanz-5,Olanzapin,1077
Psycholanz-10,Olanzapin,1077
P-Tam,Piracetam,1159
PTU Thepharm,Propylthiouracil,1208
Pukas,Trimetazidin,1412
Pulmicort,Budesonid,274
Pulmicort Respules,Budesonid,274
Pulmoxy-250 dry syrup,Amoxicilin,188
Pulmoxyl Dry syrup,Amoxicilin,188
Pulracef,500 - Cefuroxim,375
Pulracef,CV 500 - Cefuroxim,375
Puraxim,Cefixim,351
Purecare,Erythromycin,607
Puregon,xem Follitropin beta - Gonadotropin,756
Puril,Clopidogrel,425
Puritan,Tobramycin,1392
Puzicil,Azithromycin,227
PVP Iodine,Povidon iod,1166
Pvrison,Eperison hydroclorid,592
Pycaptin,Captopril,314
Pycetol,Paracetamol,1118
Pycetol-F,Paracetamol,1118
Pycip,Ciprofloxacin,394
Pycityl,Tenoxicam,1336
Pyclin 150,Clindamycin,407
Pyclin 300,Clindamycin,407
Pyclin-300,Clindamycin,407
Pyclin 600,Clindamycin,407
Pydrocef 500,Cefadroxil,332
Pyfaclor,Cefaclor,329
Pyfaclor Kid,Cefaclor,329
Pyfadrox 500,Cefadroxil,332
Pyfloxat,Ofloxacin,1076
Pyme,Ibu - Ibuprofen,786
Pyme Am5 caps,Amlodipin,187
Pyme Diapro,Gliclazid,729
Pyme Diapro MR,Gliclazid,729
Pyme Fucan,Fluconazol,666
Pyme FUCAN,Fluconazol,666
Pyme M-Predni,Methylprednisolon,969
Pyme OM40,Omeprazol,1080
Pyme Sezipam,Diazepam,513
PymeAlong 5,Amlodipin,187
PymeAzi 250,Azithromycin,227
PymeAzi 500,Azithromycin,227
Pymeclarocil 250,Clarithromycin,404
Pymeclarocil 500,Clarithromycin,404
Pymenife 10,Nifedipin,1056
PymeNife retard,Nifedipin,1056
PymeRoxitil,Roxithromycin,1260
Pymetphage 1000,Metformin,955
Pymetphage_500,Metformin,955
Pymetphage_850,Metformin,955
Pyomsec 20,Omeprazol,1080
Pyrabru,Pyrazinamid,1214
Pyracil,Propylthiouracil,1208
Pyrafat,Pyrazinamid,1214
Pyrantelum Madana,Pyrantel,1213
Pyrazinamid 500,Pyrazinamid,1214
Pyrazinamide,Pyrazinamid,1214
Pyrazinamide tablets USP,Pyrazinamid,1214
"Pyrexicam 7,5",Meloxicam,940
Pyrexicam 15,Meloxicam,940
Pyridostigmine bromide,Pyridostigmin bromid,1216
Pyridoxine hydrochloride,Pyridoxin hydrocorid,1217
Pyrimethamine,Pyrimethamin,1219
Pyrolox,Piroxicam,1160
Pyroxil,Cefadroxil,332
Pythinam,Imipenem và thuốc ức chế enzym,800
Pytonadion,Phytomenadion,1147
Pyzacar 25,Losartan,927
Pyzacar 50,Losartan,927
PZA 500,Pyrazinamid,1214
Qaderlo,Desloratadin,497
Qamasol,Ambroxol,175
Qanazin,Flunarizin,678
QBI-Phadol,Paracetamol,1118
Qbipharine,Alverin citrat,172
Q-Tax P,Cefixim,351
Q-Tax-T,Cefixim,351
Q-Tax-T 200,Cefixim,351
Quacimol,Clotrimazol,452
Quafa-Azi 250,Azithromycin,227
Quafacip,Ciprofloxacin,394
Quafamox,Amoxicilin,188
Qualif,Paracetamol,1118
Quamatel,Famotidin,648
Queencap,Candesartan cilexetil,304
Queenlife E,Alpha tocopherol,165
Quibay,Piracetam,1159
Quidonan,Trimetazidin,1412
Quinapril 20,Quinapril,1222
Quinapril 5,Quinapril,1222
Quincef 125,Cefuroxim,375
Quincef 250,Cefuroxim,375
Quincef 500,Cefuroxim,375
Quindrops,Ciprofloxacin,394
Quinine,Quinin,1225
Quinine Sulphate,Quinin,1225
Quinine Sulphate Tablets BP,Quinin,1225
Quinobact,Ciprofloxacin,394
Quinoneg 500,Acid nalidixic,134
Quinospastyl,Alverin citrat,172
Quinotab 250,Levofloxacin,890
Quinotab 500,Levofloxacin,890
Quinovid,Ofloxacin,1076
Quinoxo Brookes,Ofloxacin,1076
Quinrox,Ciprofloxacin,394
Quinvonic,Levofloxacin,890
Quivocin,Levofloxacin,890
Quivonic 100,Levofloxacin,890
Quivonic 250,Levofloxacin,890
Quivonic 500,Levofloxacin,890
Quixime,Cefotaxim,357
Qunflox-500,Levofloxacin,890
Qupron,Ciprofloxacin,394
Rabe,G - Rabeprazol,1228
Rabefast-10,Rabeprazol,1228
Rabefast-20,Rabeprazol,1228
Rabeflex,Rabeprazol,1228
Rabefresh 20,Rabeprazol,1228
Rabegard-20,Rabeprazol,1228
Rabegil 20,Rabeprazol,1228
Rabeloc 10,Rabeprazol,1228
Rabeloc 20,Rabeprazol,1228
Rabeloc IV,Rabeprazol,1228
Rabemac 10,Rabeprazol,1228
Rabemac 20,Rabeprazol,1228
Rabemark 20,Rabeprazol,1228
Rabemed 20,Rabeprazol,1228
Rabemir 20,Rabeprazol,1228
Rabeolone,Triamcinolon,1407
Rabepagi,Rabeprazol,1228
Rabeprazole,Rabeprazol,1228
Rabeprazole Stada,Rabeprazol,1228
Rabeprazole-Teva,Rabeprazol,1228
Rabera,Rabeprazol,1228
Rabestad 10,Rabeprazol,1228
Rabestad 20,Rabeprazol,1228
Rabetac 10,Rabeprazol,1228
Rabetac 20,Rabeprazol,1228
Rabewell-20,Rabeprazol,1228
Rabezol 10,Rabeprazol,1228
Rabezol 20,Rabeprazol,1228
Rabfess,Rabeprazol,1228
Rabicad 10,Rabeprazol,1228
Rabicad 20,Rabeprazol,1228
Rabicad I.V .,Rabeprazol,1228
Rabidus 20,Rabeprazol,1228
Rabies vaccine,Vắc xin dại,1431
Rabiliv-20,Rabeprazol,1228
Rabipam,Rabeprazol,1228
Rabipril,20 - Rabeprazol,1228
Rabipril-10,Rabeprazol,1228
Rabipur,Vắc xin dại,1431
Rabirol 10,Rabeprazol,1228
Rabirol 20,Rabeprazol,1228
Rabodex 20,Rabeprazol,1228
Rabofar-20,Rabeprazol,1228
Rabosec-20,Rabeprazol,1228
Rabotil 20,Rabeprazol,1228
Rabozol 20,Rabeprazol,1228
Rabsun-20,Rabeprazol,1228
Rab-ulcer,Rabeprazol,1228
Rabupin 10,Rabeprazol,1228
Rabupin 20,Rabeprazol,1228
Rabzix 20,Rabeprazol,1228
Rabzole-20,Rabeprazol,1228
Raciper,Esomeprazol,619
Radin Cap.,Cefradin,366
Radincef,Cefradin,366
Rafin SR,Indapamid,804
Rainbrucin,Ampicilin,199
Ramezole,Rabeprazol,1228
Ramidil 2.5,Ramipril,1230
Ramidil 5,Ramipril,1230
Ramigold 2.5,Ramipril,1230
Ramilo-5,Amlodipin,187
Ramipace,Ramipril,1230
Ramipril-1A,Ramipril,1230
Ramogard 20,Trimetazidin,1412
Ramol syrup,Ambroxol,175
Ramprozole,Rabeprazol,1228
Ran fac,Ranitidin,1232
Ranbeforte,Rabeprazol,1228
Ranclor,Cefaclor,329
Raneasin Tab.,Aciclovir,114
Ranicid,Ranitidin,1232
Raniprotect,Ranitidin,1232
Ranison,Ranitidin,1232
Ranistin,Ranitidin,1232
Ranitan 150,Ranitidin,1232
Ranitan 300,Ranitidin,1232
Ranitidin 150 Glomed,Ranitidin,1232
Ranitidin 300 Glomed,Ranitidin,1232
Ranitidin BOSTON 150,Ranitidin,1232
Ranitidin BOSTON 300,Ranitidin,1232
Ranitidin DNPharm,Ranitidin,1232
Ranitidin DNPharm 150,Ranitidin,1232
Ranitidine,Ranitidin,1232
Ranitidine “Dexa”,Ranitidin,1232
Ranitidine 150,Ranitidin,1232
Ranitidine 300,Ranitidin,1232
Ranitidine Hydrochloride IP,Ranitidin,1232
Ranocid 150,Ranitidin,1232
Rantac,Ranitidin,1232
Rapcizen,Cefuroxim,375
Rapdotin,Losartan,927
Rapiclav,Amoxicilin và kali clavulanat,192
Rapiclav-375,Amoxicilin và kali clavulanat,192
Rapzole,Rosiglitazon,1258
Raroxime,Cefotaxim,357
Rascopi Inj.,Piroxicam,1160
Raset,Itraconazol,849
Rasoltan,Losartan,927
Rasonix 20,Rabeprazol,1228
Raspam,Cefotaxim,357
Ratacid 150,Ranitidin,1232
Ratacid 300,Ranitidin,1232
Ratadil Tab,Loratadin,923
Raterel,Trimetazidin,1412
Ratidin F,Ranitidin,1232
Raul 100,Cefpodoxim proxetil,363
Raul 200,Cefpodoxim proxetil,363
Ravelo,Ceftazidim,368
Rawbeonal,Rabeprazol,1228
Rawximcin,Celecoxib,379
Raxadin,Imipenem và thuốc ức chế enzym,800
Razirax,Ribavirin,1240
Razo 20,Rabeprazol,1228
Razolax,Lactulose,875
Razopral,Pantoprazol,1115
Razoxcid-20,Rabeprazol,1228
R-Cin 150,Rifampicin,1245
R-Cin 300,Rifampicin,1245
Realdiron Tab.,Clopidogrel,425
Rebetol,Ribavirin,1240
Recamicina,Levofloxacin,890
Recipro 500,Ciprofloxacin,394
Recipro 750,Ciprofloxacin,394
Reclav 625,Amoxicilin và kali clavulanat,192
Reclav 1000,Amoxicilin và kali clavulanat,192
Reclide,Gliclazid,729
Reclide MR 30,Gliclazid,729
Recognile Injection,Cefamandol,339
Recohepa Soft Cap.,Arginin,205
Recosan 100,Celecoxib,379
Recosan 200,Celecoxib,379
Rectilax,Sorbitol,1294
Rectiofar,Glycerol,750
Redcef-DT-100,Cefpodoxim proxetil,363
Redpentin 100,Gabapentin,705
Redpentin 300,Gabapentin,705
Redsamax,Alendronat natri,157
Reducid 300,Ranitidin,1232
Reetac Combipack,Cefuroxim,375
Reetac-R,Ranitidin,1232
Reetac-R 300,Ranitidin,1232
Refamtyl,Fluoxetin,684
Rabzix 20,Rabeprazol,1228
Rabzole-20,Rabeprazol,1228
Raciper,Esomeprazol,619
Radin Cap.,Cefradin,366
Radincef,Cefradin,366
Rafin SR,Indapamid,804
Rainbrucin,Ampicilin,199
Ramezole,Rabeprazol,1228
Ramidil 2.5,Ramipril,1230
Ramidil 5,Ramipril,1230
Ramigold 2.5,Ramipril,1230
Ramilo-5,Amlodipin,187
Ramipace,Ramipril,1230
Ramipril-1A,Ramipril,1230
Ramogard 20,Trimetazidin,1412
Ramol syrup,Ambroxol,175
Ramprozole,Rabeprazol,1228
Ran fac,Ranitidin,1232
Ranbeforte,Rabeprazol,1228
Ranclor,Cefaclor,329
Raneasin Tab.,Aciclovir,114
Ranicid,Ranitidin,1232
Raniprotect,Ranitidin,1232
Ranison,Ranitidin,1232
Ranistin,Ranitidin,1232
Ranitan 150,Ranitidin,1232
Ranitan 300,Ranitidin,1232
Ranitidin 150 Glomed,Ranitidin,1232
Ranitidin 300 Glomed,Ranitidin,1232
Ranitidin BOSTON 150,Ranitidin,1232
Ranitidin BOSTON 300,Ranitidin,1232
Ranitidin DNPharm,Ranitidin,1232
Ranitidin DNPharm 150,Ranitidin,1232
Ranitidine,Ranitidin,1232
Ranitidine “Dexa”,Ranitidin,1232
Ranitidine 150,Ranitidin,1232
Ranitidine 300,Ranitidin,1232
Ranitidine Hydrochloride IP,Ranitidin,1232
Ranocid 150,Ranitidin,1232
Rantac,Ranitidin,1232
Rapcizen,Cefuroxim,375
Rapdotin,Losartan,927
Rapiclav,Amoxicilin và kali clavulanat,192
Rapiclav-375,Amoxicilin và kali clavulanat,192
Rapzole,Rosiglitazon,1258
Raroxime,Cefotaxim,357
Rascopi Inj.,Piroxicam,1160
Raset,Itraconazol,849
Rasoltan,Losartan,927
Rasonix 20,Rabeprazol,1228
Raspam,Cefotaxim,357
Ratacid 150,Ranitidin,1232
Ratacid 300,Ranitidin,1232
Ratadil Tab,Loratadin,923
Raterel,Trimetazidin,1412
Ratidin F,Ranitidin,1232
Raul 100,Cefpodoxim proxetil,363
Raul 200,Cefpodoxim proxetil,363
Ravelo,Ceftazidim,368
Rawbeonal,Rabeprazol,1228
Rawximcin,Celecoxib,379
Raxadin,Imipenem và thuốc ức chế enzym,800
Razirax,Ribavirin,1240
Razo 20,Rabeprazol,1228
Razolax,Lactulose,875
Razopral,Pantoprazol,1115
Razoxcid-20,Rabeprazol,1228
R-Cin 150,Rifampicin,1245
R-Cin 300,Rifampicin,1245
Realdiron Tab.,Clopidogrel,425
Rebetol,Ribavirin,1240
Recamicina,Levofloxacin,890
Recipro 500,Ciprofloxacin,394
Recipro 750,Ciprofloxacin,394
Reclav 625,Amoxicilin và kali clavulanat,192
Reclav 1000,Amoxicilin và kali clavulanat,192
Reclide,Gliclazid,729
Reclide MR 30,Gliclazid,729
Recognile Injection,Cefamandol,339
Recohepa Soft Cap.,Arginin,205
Recosan 100,Celecoxib,379
Recosan 200,Celecoxib,379
Rectilax,Sorbitol,1294
Rectiofar,Glycerol,750
Redcef-DT-100,Cefpodoxim proxetil,363
Redpentin 100,Gabapentin,705
Redpentin 300,Gabapentin,705
Redsamax,Alendronat natri,157
Reducid 300,Ranitidin,1232
Reetac Combipack,Cefuroxim,375
Reetac-R,Ranitidin,1232
Reetac-R 300,Ranitidin,1232
Refamtyl,Fluoxetin,684
Refixime,Cefixim,351
Refixime100,Cefixim,351
Reformin 500,Metformin,955
Reformin 850,Metformin,955
Regadrin B,Bezafibrat,258
Regulacid,Omeprazol,1080
Reinal,Flunarizin,678
Relab,Albumin,152
Relcodin 30,Codein phosphat,459
Relcodin 60,Codein phosphat,459
Reldicef,Cefpodoxim proxetil,363
Reldicef 100,Cefpodoxim proxetil,363
Reldicef 200,Cefpodoxim proxetil,363
Relinide Tablets 1mg “Standard”,Repaglinid,1234
Relivan,Terbutalin sulfat,1341
Relotabin,Capecitabin,306
Remact-400,Piracetam,1159
Remact-800,Piracetam,1159
Remebentin 100,Gabapentin,705
Remebentin 300,Gabapentin,705
Remebentin 400,Gabapentin,705
Remecilox 200,Ofloxacin,1076
Remeclar 250,Clarithromycin,404
Remeclar 500,Clarithromycin,404
Remedipin,Amlodipin,187
Remeron 30,Mirtazapin,993
Remeron SolTab,Mirtazapin,993
Reminyl,Galantamin,708
Remitat,Gabapentin,705
Renapril,Enalapril,582
Renatab 10,Enalapril,582
Renatab 5,Enalapril,582
Reniate,Enalapril,582
Renifort,Prednisolon,1173
Renitec,Enalapril,582
Repadone-2,Risperidon,1249
Repaglinide,Repaglinid,1234
Repamax P,Paracetamol,1118
Repraz-20,Rabeprazol,1228
Resbate,Clopidogrel,425
Rescuvolin,Folinat calci,694
Resdep,Risperidon,1249
Reserpine,Reserpin,1237
Resilo 25,Losartan,927
Resilo 50,Losartan,927
Resines,Amlodipin,187
Respidon-2,Risperidon,1249
Retento 400,Piracetam,1159
Retiminate Tab.,Roxithromycin,1260
Retrocytin,Lamivudin,876
Retrocytin 150,Lamivudin,876
Reumokam,Meloxicam,940
Revibra,Celecoxib,379
Rexlar,Clarithromycin,404
Rexlar suspension,Clarithromycin,404
Reyoung Streptomycin,Streptomycin,1308
Rezocip,Ciprofloxacin,394
Rezocip 750,Ciprofloxacin,394
Rezoclav,Amoxicilin và kali clavulanat,192
Rezol 20,Rabeprazol,1228
r-HBvax,Vắc xin viêm gan B tái tổ hợp,1449
Rhetanol ACE,Paracetamol,1118
Rhetanol fort,Paracetamol,1118
Rheumac,Celecoxib,379
Rheumac 200,Celecoxib,379
Rhinex,Naphazolin,1023
Rhinocort Aqua,Budesonid,274
Rhinovent Nasal Spray,Ipratropium bromid,833
Rhinxl 200,Cefpodoxim proxetil,363
Rhomatic 75,Diclofenac,515
Rhumagel,Piroxicam,1160
Rhydlosart-50,Losartan,927
Rhynixsol,Naphazolin,1023
Rhyof,Ofloxacin,1076
Riafen,Diclofenac,515
Rialcef,Cefixim,351
Rialcef 200,Cefixim,351
Rialcef 400,Cefixim,351
Ribabutin 200,Ribavirin,1240
Ribabutin 400,Ribavirin,1240
